h_1171,theta_1171,h_1170,theta_1170,h_1168,theta_1168,h_1133,theta_1133
46.95,0.370420323,46.05,0.467130215,46.85,0.330917213,41.25,0.446701209
47,0.369994374,46.1,0.466712233,46.95,0.330467709,41.3,0.446469957
47.05,0.369568426,46.15,0.46629425,47,0.330059068,41.3,0.446200164
47.1,0.369142477,46.2,0.465876268,47,0.329568699,41.4,0.44593037
47.15,0.368639084,46.25,0.465527949,47.1,0.329119194,41.4,0.445660576
47.15,0.368213135,46.25,0.465109967,47.1,0.32866969,41.4,0.445390783
47.15,0.367748464,46.35,0.464691984,47.15,0.328220185,41.5,0.445120989
47.2,0.367361238,46.4,0.464274002,47.2,0.327729816,41.5,0.444851195
47.3,0.366935289,46.4,0.463890851,47.3,0.327321175,41.55,0.444581402
47.25,0.366470618,46.5,0.463472869,47.35,0.326830807,41.6,0.444311608
47.35,0.36604467,46.5,0.463054886,47.35,0.326381302,41.55,0.444041814
47.35,0.365657444,46.55,0.462636904,47.5,0.325931797,41.65,0.443733479
47.35,0.36515405,46.6,0.462218922,47.55,0.325482292,41.65,0.443502227
47.4,0.364805547,46.7,0.461800939,47.6,0.324991924,41.75,0.443232433
47.4,0.364302153,46.75,0.461417789,47.6,0.324542419,41.75,0.44296264
47.55,0.363914927,46.8,0.460964974,47.75,0.324092914,41.75,0.442654304
47.5,0.363527701,46.85,0.460581824,47.8,0.323684273,41.75,0.442345969
47.5,0.36306303,46.9,0.460198673,47.8,0.323234769,41.8,0.442076175
47.6,0.362637082,46.95,0.459780691,47.85,0.322826128,41.85,0.441806381
47.6,0.362211133,47,0.459432372,47.95,0.322417487,41.9,0.441498046
47.6,0.361785185,47,0.45901439,47.95,0.321927119,41.9,0.44118971
47.7,0.361359236,47,0.458596407,48.05,0.32143675,41.9,0.440919916
47.7,0.360894565,47.1,0.458178425,48.1,0.321028109,41.95,0.440650123
47.8,0.360429894,47.15,0.457795274,48.1,0.32053774,42,0.440380329
47.8,0.359965223,47.15,0.457377292,48.15,0.320088236,42,0.440033452
47.85,0.359539274,47.2,0.456959309,48.15,0.319679595,42.05,0.439763658
47.85,0.359152048,47.25,0.45661099,48.2,0.319270954,42.05,0.439493864
47.9,0.3587261,47.3,0.456193008,48.25,0.318821449,42.05,0.439224071
48.05,0.358261429,47.3,0.455809857,48.25,0.318290217,42.1,0.438915735
48.05,0.357758035,47.35,0.455357043,48.35,0.317840712,42.1,0.438645941
48.15,0.357293364,47.35,0.454904229,48.4,0.317350343,42.1,0.438337606
48.25,0.356712525,47.45,0.454486246,48.45,0.316900838,42.2,0.437952186
48.3,0.356209131,47.45,0.454103096,48.45,0.316492198,42.25,0.437682393
48.4,0.355628292,47.45,0.453719945,48.45,0.316042693,42.25,0.437374057
48.55,0.355163621,47.45,0.453336795,48.4,0.315593188,42.25,0.437027179
48.55,0.354660228,47.45,0.452918812,48.45,0.315061955,42.25,0.436718844
48.65,0.354195556,47.5,0.452431166,48.45,0.314571587,42.3,0.436410508
48.7,0.353614718,47.55,0.45194352,48.5,0.314040354,42.3,0.436063631
