h_1277,theta_1277,h_1278,theta_1278,h_1279,theta_1279,h_1280,theta_1280,h_1281,theta_1281,h_1282,theta_1282,h_1283,theta_1283,h_1284,theta_1284
23.735,0.482959834,32.95,0.462473775,41.62,0.427593559,26.985,0.442848712,23.18,0.45895408,23.745,0.441831427,30.3,0.440553747,28.275,0.430566292
23.92,0.482731088,32.71,0.462209741,41.83,0.427255451,27.205,0.442537477,23.525,0.458602631,24.24,0.44147837,30.27,0.440437751,28.495,0.430449459
24,0.482426093,33.015,0.462021145,41.9,0.427217884,27.34,0.442342955,23.6,0.458290231,24.195,0.441321455,30.66,0.440089762,28.635,0.430293683
24.235,0.482349844,33.355,0.461794831,42.18,0.426654371,27.555,0.442070624,23.79,0.458094981,24.455,0.441046855,30.81,0.440051097,28.87,0.430060018
24.31,0.482044849,33.63,0.461530797,42.37,0.426391398,27.775,0.441876102,23.985,0.457899732,24.695,0.440811484,31.275,0.439780439,29.065,0.429865297
24.325,0.481892351,33.485,0.461266764,42.4,0.426090858,27.96,0.441564867,24.17,0.457704482,24.925,0.440536884,30.925,0.439587112,29.315,0.429670577
24.52,0.481511107,33.83,0.461153606,42.6,0.425640048,28.13,0.441448154,24.24,0.457353032,24.88,0.440340741,31.34,0.43943245,29.505,0.4295148
24.66,0.481472983,33.705,0.460851854,42.755,0.425527345,28.15,0.441136919,24.54,0.457079683,25.295,0.440223055,31.29,0.439161792,29.72,0.429281135
24.87,0.481053614,34.03,0.460625539,43.175,0.424475455,28.45,0.441020205,24.665,0.456806333,25.355,0.439948455,31.66,0.4389298,29.915,0.429047471
24.915,0.480939241,34.355,0.460399225,43.32,0.424588157,28.625,0.44070897,24.915,0.456572033,25.695,0.439595398,31.625,0.438775138,30.15,0.428891694
25.095,0.480634246,34.155,0.460135191,43.37,0.424212482,28.83,0.440514448,24.965,0.456415833,25.62,0.439556169,32.005,0.438543145,30.33,0.428735918
25.26,0.480519873,34.515,0.459984315,43.535,0.423874374,29.02,0.440281022,25.295,0.456181534,26.12,0.439124655,31.875,0.438311153,30.595,0.428541197
25.365,0.480138629,34.25,0.459720281,43.685,0.423724104,29.23,0.439969787,25.325,0.455947234,26,0.439006969,32.32,0.438079161,30.785,0.428346476
25.475,0.479948007,34.66,0.459569405,44.015,0.422822484,29.395,0.439814169,25.625,0.455751984,26.385,0.438732369,32.56,0.437963164,31.015,0.4281907
